task cope subject region zscore_sc
tens cope1 sub-DMAim1HC005 left_sc_gm_mask 3.529688
tens cope1 sub-DMAim1HC005 right_sc_gm_mask 2.837202
tens cope1 sub-DMAim1HC005 left_sc_mask 3.372428
tens cope1 sub-DMAim1HC005 right_sc_mask 2.885966
tens cope1 sub-DMAim1HC005 C6_left_sc_gm_mask 4.305609
tens cope1 sub-DMAim1HC005 C6_right_sc_gm_mask 2.801773
tens cope1 sub-DMAim1HC005 C7_left_sc_gm_mask 2.822866
tens cope1 sub-DMAim1HC005 C7_right_sc_gm_mask 3.039031
tens cope1 sub-DMAim1HC005 C8_left_sc_gm_mask 4.056039
tens cope1 sub-DMAim1HC005 C8_right_sc_gm_mask 2.626858
tens cope1 sub-DMAim1HC016 left_sc_gm_mask 3.053570
tens cope1 sub-DMAim1HC016 right_sc_gm_mask 2.899859
tens cope1 sub-DMAim1HC016 left_sc_mask 3.078875
tens cope1 sub-DMAim1HC016 right_sc_mask 2.999453
tens cope1 sub-DMAim1HC016 C6_left_sc_gm_mask 2.131776
tens cope1 sub-DMAim1HC016 C6_right_sc_gm_mask 1.952844
tens cope1 sub-DMAim1HC016 C7_left_sc_gm_mask 3.188409
tens cope1 sub-DMAim1HC016 C7_right_sc_gm_mask 3.204803
tens cope1 sub-DMAim1HC016 C8_left_sc_gm_mask 3.131459
tens cope1 sub-DMAim1HC016 C8_right_sc_gm_mask 2.652644
tens cope1 sub-DMAim1HC017 left_sc_gm_mask 2.700145
tens cope1 sub-DMAim1HC017 right_sc_gm_mask 2.933890
tens cope1 sub-DMAim1HC017 left_sc_mask 2.782888
tens cope1 sub-DMAim1HC017 right_sc_mask 2.835052
tens cope1 sub-DMAim1HC017 C6_left_sc_gm_mask 2.326304
tens cope1 sub-DMAim1HC017 C6_right_sc_gm_mask 2.166236
tens cope1 sub-DMAim1HC017 C7_left_sc_gm_mask 2.970566
tens cope1 sub-DMAim1HC017 C7_right_sc_gm_mask 2.865877
tens cope1 sub-DMAim1HC017 C8_left_sc_gm_mask 2.364669
tens cope1 sub-DMAim1HC017 C8_right_sc_gm_mask 3.222730
tens cope1 sub-DMAim1HC022 left_sc_gm_mask 3.508162
tens cope1 sub-DMAim1HC022 right_sc_gm_mask 3.229019
tens cope1 sub-DMAim1HC022 left_sc_mask 3.150925
tens cope1 sub-DMAim1HC022 right_sc_mask 3.104602
tens cope1 sub-DMAim1HC022 C6_left_sc_gm_mask 2.582691
tens cope1 sub-DMAim1HC022 C6_right_sc_gm_mask 3.500601
tens cope1 sub-DMAim1HC022 C7_left_sc_gm_mask 3.121969
tens cope1 sub-DMAim1HC022 C7_right_sc_gm_mask 2.904232
tens cope1 sub-DMAim1HC022 C8_left_sc_gm_mask 4.486075
tens cope1 sub-DMAim1HC022 C8_right_sc_gm_mask 3.414706
tens cope1 sub-DMAim1HC023 left_sc_gm_mask 3.136440
tens cope1 sub-DMAim1HC023 right_sc_gm_mask 2.841303
tens cope1 sub-DMAim1HC023 left_sc_mask 3.051314
tens cope1 sub-DMAim1HC023 right_sc_mask 3.004381
tens cope1 sub-DMAim1HC023 C6_left_sc_gm_mask 2.883194
tens cope1 sub-DMAim1HC023 C6_right_sc_gm_mask 2.392276
tens cope1 sub-DMAim1HC023 C7_left_sc_gm_mask 4.933612
tens cope1 sub-DMAim1HC023 C7_right_sc_gm_mask 2.050978
tens cope1 sub-DMAim1HC023 C8_left_sc_gm_mask 2.706787
tens cope1 sub-DMAim1HC023 C8_right_sc_gm_mask 3.753268
tens cope1 sub-DMAim1HC027 left_sc_gm_mask 3.514410
tens cope1 sub-DMAim1HC027 right_sc_gm_mask 3.443420
tens cope1 sub-DMAim1HC027 left_sc_mask 3.189674
tens cope1 sub-DMAim1HC027 right_sc_mask 3.175195
tens cope1 sub-DMAim1HC027 C6_left_sc_gm_mask 3.390847
tens cope1 sub-DMAim1HC027 C6_right_sc_gm_mask 2.943463
tens cope1 sub-DMAim1HC027 C7_left_sc_gm_mask 3.618911
tens cope1 sub-DMAim1HC027 C7_right_sc_gm_mask 4.034094
tens cope1 sub-DMAim1HC027 C8_left_sc_gm_mask 3.749528
tens cope1 sub-DMAim1HC027 C8_right_sc_gm_mask 2.571708
tens cope1 sub-DMAim1HC025 left_sc_gm_mask 3.282971
tens cope1 sub-DMAim1HC025 right_sc_gm_mask 3.279467
tens cope1 sub-DMAim1HC025 left_sc_mask 3.025255
tens cope1 sub-DMAim1HC025 right_sc_mask 2.991874
tens cope1 sub-DMAim1HC025 C6_left_sc_gm_mask 2.595966
tens cope1 sub-DMAim1HC025 C6_right_sc_gm_mask 2.146425
tens cope1 sub-DMAim1HC025 C7_left_sc_gm_mask 3.861668
tens cope1 sub-DMAim1HC025 C7_right_sc_gm_mask 2.124166
tens cope1 sub-DMAim1HC025 C8_left_sc_gm_mask 3.356371
tens cope1 sub-DMAim1HC025 C8_right_sc_gm_mask 3.056583
tens cope1 sub-DMAim1HC035 left_sc_gm_mask 3.190475
tens cope1 sub-DMAim1HC035 right_sc_gm_mask 3.262153
tens cope1 sub-DMAim1HC035 left_sc_mask 3.154467
tens cope1 sub-DMAim1HC035 right_sc_mask 3.137352
tens cope1 sub-DMAim1HC035 C6_left_sc_gm_mask 3.611431
tens cope1 sub-DMAim1HC035 C6_right_sc_gm_mask 3.550741
tens cope1 sub-DMAim1HC035 C7_left_sc_gm_mask 2.819639
tens cope1 sub-DMAim1HC035 C7_right_sc_gm_mask 3.228556
tens cope1 sub-DMAim1HC035 C8_left_sc_gm_mask 2.939732
tens cope1 sub-DMAim1HC035 C8_right_sc_gm_mask 2.797693
tens cope1 sub-DMAim1HC008 left_sc_gm_mask 3.733530
tens cope1 sub-DMAim1HC008 right_sc_gm_mask 3.300914
tens cope1 sub-DMAim1HC008 left_sc_mask 3.295322
tens cope1 sub-DMAim1HC008 right_sc_mask 3.169680
tens cope1 sub-DMAim1HC008 C6_left_sc_gm_mask 4.073518
tens cope1 sub-DMAim1HC008 C6_right_sc_gm_mask 2.747151
tens cope1 sub-DMAim1HC008 C7_left_sc_gm_mask 3.953263
tens cope1 sub-DMAim1HC008 C7_right_sc_gm_mask 3.510687
tens cope1 sub-DMAim1HC008 C8_left_sc_gm_mask 2.774570
tens cope1 sub-DMAim1HC008 C8_right_sc_gm_mask 3.627743
tens cope1 sub-DMAim1HC031 left_sc_gm_mask 3.212942
tens cope1 sub-DMAim1HC031 right_sc_gm_mask 2.703898
tens cope1 sub-DMAim1HC031 left_sc_mask 3.089734
tens cope1 sub-DMAim1HC031 right_sc_mask 2.742594
tens cope1 sub-DMAim1HC031 C6_left_sc_gm_mask 2.662736
tens cope1 sub-DMAim1HC031 C6_right_sc_gm_mask 2.660953
tens cope1 sub-DMAim1HC031 C7_left_sc_gm_mask 3.911805
tens cope1 sub-DMAim1HC031 C7_right_sc_gm_mask 2.775443
tens cope1 sub-DMAim1HC031 C8_left_sc_gm_mask 3.173804
tens cope1 sub-DMAim1HC031 C8_right_sc_gm_mask 2.366957
tens cope1 sub-DMAim1HC032 left_sc_gm_mask 2.770001
tens cope1 sub-DMAim1HC032 right_sc_gm_mask 3.232633
tens cope1 sub-DMAim1HC032 left_sc_mask 2.929765
tens cope1 sub-DMAim1HC032 right_sc_mask 3.444396
tens cope1 sub-DMAim1HC032 C6_left_sc_gm_mask 2.815034
tens cope1 sub-DMAim1HC032 C6_right_sc_gm_mask 2.970420
tens cope1 sub-DMAim1HC032 C7_left_sc_gm_mask 2.813561
tens cope1 sub-DMAim1HC032 C7_right_sc_gm_mask 3.533729
tens cope1 sub-DMAim1HC032 C8_left_sc_gm_mask 2.286494
tens cope1 sub-DMAim1HC032 C8_right_sc_gm_mask 3.577740
tens cope1 sub-DMAim1HC034 left_sc_gm_mask 2.656910
tens cope1 sub-DMAim1HC034 right_sc_gm_mask 2.808324
tens cope1 sub-DMAim1HC034 left_sc_mask 2.765346
tens cope1 sub-DMAim1HC034 right_sc_mask 2.940293
tens cope1 sub-DMAim1HC034 C6_left_sc_gm_mask 2.620865
tens cope1 sub-DMAim1HC034 C6_right_sc_gm_mask 2.923199
tens cope1 sub-DMAim1HC034 C7_left_sc_gm_mask 2.580957
tens cope1 sub-DMAim1HC034 C7_right_sc_gm_mask 2.346795
tens cope1 sub-DMAim1HC034 C8_left_sc_gm_mask 2.437786
tens cope1 sub-DMAim1HC034 C8_right_sc_gm_mask 3.120932
tens cope1 sub-DMAim1HC019 left_sc_gm_mask 3.027686
tens cope1 sub-DMAim1HC019 right_sc_gm_mask 3.063929
tens cope1 sub-DMAim1HC019 left_sc_mask 2.976425
tens cope1 sub-DMAim1HC019 right_sc_mask 3.100966
tens cope1 sub-DMAim1HC019 C6_left_sc_gm_mask 3.150103
tens cope1 sub-DMAim1HC019 C6_right_sc_gm_mask 2.972659
tens cope1 sub-DMAim1HC019 C7_left_sc_gm_mask 2.800610
tens cope1 sub-DMAim1HC019 C7_right_sc_gm_mask 3.505440
tens cope1 sub-DMAim1HC019 C8_left_sc_gm_mask 3.180126
tens cope1 sub-DMAim1HC019 C8_right_sc_gm_mask 2.315311
tens cope1 sub-DMAim1HC037 left_sc_gm_mask 3.654956
tens cope1 sub-DMAim1HC037 right_sc_gm_mask 3.460686
tens cope1 sub-DMAim1HC037 left_sc_mask 3.650780
tens cope1 sub-DMAim1HC037 right_sc_mask 3.229415
tens cope1 sub-DMAim1HC037 C6_left_sc_gm_mask 3.868731
tens cope1 sub-DMAim1HC037 C6_right_sc_gm_mask 3.345341
tens cope1 sub-DMAim1HC037 C7_left_sc_gm_mask 4.085194
tens cope1 sub-DMAim1HC037 C7_right_sc_gm_mask 3.760331
tens cope1 sub-DMAim1HC037 C8_left_sc_gm_mask 2.726022
tens cope1 sub-DMAim1HC037 C8_right_sc_gm_mask 2.268998
tens cope1 sub-DMAim1HC028 left_sc_gm_mask 2.997638
tens cope1 sub-DMAim1HC028 right_sc_gm_mask 2.630470
tens cope1 sub-DMAim1HC028 left_sc_mask 3.130491
tens cope1 sub-DMAim1HC028 right_sc_mask 2.706754
tens cope1 sub-DMAim1HC028 C6_left_sc_gm_mask 2.025318
tens cope1 sub-DMAim1HC028 C6_right_sc_gm_mask 2.136399
tens cope1 sub-DMAim1HC028 C7_left_sc_gm_mask 0.000000
tens cope1 sub-DMAim1HC028 C7_right_sc_gm_mask 2.400935
tens cope1 sub-DMAim1HC028 C8_left_sc_gm_mask 2.430963
tens cope1 sub-DMAim1HC028 C8_right_sc_gm_mask 3.071468
tens cope1 sub-DMAim1HC038 left_sc_gm_mask 2.961387
tens cope1 sub-DMAim1HC038 right_sc_gm_mask 3.759441
tens cope1 sub-DMAim1HC038 left_sc_mask 3.090937
tens cope1 sub-DMAim1HC038 right_sc_mask 3.350876
tens cope1 sub-DMAim1HC038 C6_left_sc_gm_mask 2.985386
tens cope1 sub-DMAim1HC038 C6_right_sc_gm_mask 3.089099
tens cope1 sub-DMAim1HC038 C7_left_sc_gm_mask 2.538642
tens cope1 sub-DMAim1HC038 C7_right_sc_gm_mask 3.521355
tens cope1 sub-DMAim1HC038 C8_left_sc_gm_mask 2.964279
tens cope1 sub-DMAim1HC038 C8_right_sc_gm_mask 5.183069
tens cope1 sub-DMAim1HC039 left_sc_gm_mask 2.795672
tens cope1 sub-DMAim1HC039 right_sc_gm_mask 3.931577
tens cope1 sub-DMAim1HC039 left_sc_mask 2.802413
tens cope1 sub-DMAim1HC039 right_sc_mask 3.136452
tens cope1 sub-DMAim1HC039 C6_left_sc_gm_mask 2.602067
tens cope1 sub-DMAim1HC039 C6_right_sc_gm_mask 2.754506
tens cope1 sub-DMAim1HC039 C7_left_sc_gm_mask 3.049433
tens cope1 sub-DMAim1HC039 C7_right_sc_gm_mask 4.789634
tens cope1 sub-DMAim1HC039 C8_left_sc_gm_mask 2.684115
tens cope1 sub-DMAim1HC039 C8_right_sc_gm_mask 3.871541
tens cope1 sub-DMAim1HC009 left_sc_gm_mask 2.940142
tens cope1 sub-DMAim1HC009 right_sc_gm_mask 2.889679
tens cope1 sub-DMAim1HC009 left_sc_mask 2.996885
tens cope1 sub-DMAim1HC009 right_sc_mask 3.066609
